value         ours       lib        diff
sin(115.20)   0.904827   0.904827  -0.000000
cos(115.20)  -0.425779  -0.425779  -0.000000
sin(117.00)   0.891007   0.891007  -0.000000
cos(117.00)  -0.453990  -0.453990  -0.000000
sin(118.80)   0.876307   0.876307  -0.000000
cos(118.80)  -0.481754  -0.481754  -0.000000
sin(120.60)   0.860742   0.860742  -0.000000
cos(120.60)  -0.509041  -0.509041  -0.000000
sin(122.40)   0.844328   0.844328  -0.000000
cos(122.40)  -0.535827  -0.535827  -0.000000
sin(124.20)   0.827081   0.827081  -0.000000
cos(124.20)  -0.562083  -0.562083  -0.000000
sin(126.00)   0.809017   0.809017  -0.000000
cos(126.00)  -0.587785  -0.587785  -0.000000
sin(127.80)   0.790155   0.790155  -0.000000
cos(127.80)  -0.612907  -0.612907  -0.000000
sin(129.60)   0.770513   0.770513  -0.000000
cos(129.60)  -0.637424  -0.637424  -0.000000
sin(131.40)   0.750111   0.750111  -0.000000
cos(131.40)  -0.661312  -0.661312  -0.000000
sin(133.20)   0.728969   0.728969  -0.000000
cos(133.20)  -0.684547  -0.684547  -0.000000
sin(135.00)   0.707107   0.707107  -0.000000
cos(135.00)  -0.707107  -0.707107  -0.000000
sin(136.80)   0.684547   0.684547  -0.000000
cos(136.80)  -0.728969  -0.728969  -0.000000
sin(138.60)   0.661312   0.661312  -0.000000
cos(138.60)  -0.750111  -0.750111  -0.000000
sin(140.40)   0.637424   0.637424  -0.000000
cos(140.40)  -0.770513  -0.770513  -0.000000
sin(142.20)   0.612907   0.612907  -0.000000
cos(142.20)  -0.790155  -0.790155  -0.000000
sin(144.00)   0.587785   0.587785  -0.000000
cos(144.00)  -0.809017  -0.809017  -0.000000
sin(145.80)   0.562083   0.562083  -0.000000
cos(145.80)  -0.827081  -0.827081  -0.000000
sin(147.60)   0.535827   0.535827  -0.000000
cos(147.60)  -0.844328  -0.844328  -0.000000
sin(149.40)   0.509041   0.509041  -0.000000
cos(149.40)  -0.860742  -0.860742  -0.000000
sin(151.20)   0.481754   0.481754  -0.000000
cos(151.20)  -0.876307  -0.876307  -0.000000
sin(153.00)   0.453990   0.453990  -0.000000
cos(153.00)  -0.891007  -0.891007  -0.000000
sin(154.80)   0.425779   0.425779  -0.000000
cos(154.80)  -0.904827  -0.904827  -0.000000
sin(156.60)   0.397148   0.397148  -0.000000
cos(156.60)  -0.917755  -0.917755  -0.000000
sin(158.40)   0.368125   0.368125  -0.000000
cos(158.40)  -0.929776  -0.929776  -0.000000
sin(160.20)   0.338738   0.338738  -0.000000
cos(160.20)  -0.940881  -0.940881  -0.000000
sin(162.00)   0.309017   0.309017  -0.000000
cos(162.00)  -0.951057  -0.951057  -0.000000
sin(163.80)   0.278991   0.278991  -0.000000
cos(163.80)  -0.960294  -0.960294  -0.000000
sin(165.60)   0.248690   0.248690  -0.000000
cos(165.60)  -0.968583  -0.968583  -0.000000
sin(167.40)   0.218143   0.218143  -0.000000
cos(167.40)  -0.975917  -0.975917  -0.000000
sin(169.20)   0.187381   0.187381  -0.000000
cos(169.20)  -0.982287  -0.982287  -0.000000
sin(171.00)   0.156434   0.156434  -0.000000
cos(171.00)  -0.987688  -0.987688  -0.000000
sin(172.80)   0.125333   0.125333  -0.000000
cos(172.80)  -0.992115  -0.992115  -0.000000
sin(174.60)   0.094108   0.094108  -0.000000
cos(174.60)  -0.995562  -0.995562  -0.000000
sin(176.40)   0.062791   0.062791  -0.000000
cos(176.40)  -0.998027  -0.998027  -0.000000
sin(178.20)   0.031411   0.031411  -0.000000
cos(178.20)  -0.999507  -0.999507  -0.000000
sin(180.00)   0.000000  -0.000000   0.000000
cos(180.00)  -1.000000  -1.000000   0.000000
sin(181.80)  -0.031411  -0.031411  -0.000000
cos(181.80)  -0.999507  -0.999507   0.000000
sin(183.60)  -0.062791  -0.062791  -0.000000
cos(183.60)  -0.998027  -0.998027   0.000000
sin(185.40)  -0.094108  -0.094108  -0.000000
cos(185.40)  -0.995562  -0.995562   0.000000
sin(187.20)  -0.125333  -0.125333  -0.000000
cos(187.20)  -0.992115  -0.992115   0.000000
sin(189.00)  -0.156434  -0.156434  -0.000000
cos(189.00)  -0.987688  -0.987688   0.000000
sin(190.80)  -0.187381  -0.187381  -0.000000
cos(190.80)  -0.982287  -0.982287   0.000000
sin(192.60)  -0.218143  -0.218143  -0.000000
cos(192.60)  -0.975917  -0.975917   0.000000
sin(194.40)  -0.248690  -0.248690  -0.000000
cos(194.40)  -0.968583  -0.968583   0.000000
sin(196.20)  -0.278991  -0.278991  -0.000000
cos(196.20)  -0.960294  -0.960294   0.000000
sin(198.00)  -0.309017  -0.309017  -0.000000
cos(198.00)  -0.951057  -0.951057   0.000000
sin(199.80)  -0.338738  -0.338738  -0.000000
cos(199.80)  -0.940881  -0.940881   0.000000
sin(201.60)  -0.368125  -0.368125  -0.000000
cos(201.60)  -0.929776  -0.929776   0.000000
sin(203.40)  -0.397148  -0.397148  -0.000000
cos(203.40)  -0.917755  -0.917755   0.000000
sin(205.20)  -0.425779  -0.425779  -0.000000
cos(205.20)  -0.904827  -0.904827   0.000000
sin(207.00)  -0.453990  -0.453990  -0.000000
cos(207.00)  -0.891007  -0.891007   0.000000
sin(208.80)  -0.481754  -0.481754  -0.000000
