value         ours       lib        diff
---------------------------------------------------------
sin(  0.00)   0.000000   0.000000   0.000000
cos(  0.00)   1.000000   1.000000   0.000000
sin(  4.50)   0.078459   0.078459   0.000000
cos(  4.50)   0.996917   0.996917  -0.000000
sin(  9.00)   0.156434   0.156434   0.000000
cos(  9.00)   0.987688   0.987688  -0.000000
sin( 13.50)   0.233445   0.233445   0.000000
cos( 13.50)   0.972370   0.972370  -0.000000
sin( 18.00)   0.309017   0.309017   0.000000
cos( 18.00)   0.951057   0.951057  -0.000000
sin( 22.50)   0.382683   0.382683   0.000000
cos( 22.50)   0.923880   0.923880  -0.000000
sin( 27.00)   0.453990   0.453990   0.000000
cos( 27.00)   0.891007   0.891007  -0.000000
sin( 31.50)   0.522499   0.522499   0.000000
cos( 31.50)   0.852640   0.852640  -0.000000
sin( 36.00)   0.587785   0.587785   0.000000
cos( 36.00)   0.809017   0.809017  -0.000000
sin( 40.50)   0.649448   0.649448   0.000000
cos( 40.50)   0.760406   0.760406  -0.000000
sin( 45.00)   0.707107   0.707107   0.000000
cos( 45.00)   0.707107   0.707107  -0.000000
sin( 49.50)   0.760406   0.760406   0.000000
cos( 49.50)   0.649448   0.649448  -0.000000
sin( 54.00)   0.809017   0.809017   0.000000
cos( 54.00)   0.587785   0.587785  -0.000000
sin( 58.50)   0.852640   0.852640   0.000000
cos( 58.50)   0.522499   0.522499  -0.000000
sin( 63.00)   0.891007   0.891007   0.000000
cos( 63.00)   0.453990   0.453990  -0.000000
sin( 67.50)   0.923880   0.923880   0.000000
cos( 67.50)   0.382683   0.382683  -0.000000
sin( 72.00)   0.951057   0.951057   0.000000
cos( 72.00)   0.309017   0.309017  -0.000000
sin( 76.50)   0.972370   0.972370   0.000000
cos( 76.50)   0.233445   0.233445  -0.000000
sin( 81.00)   0.987688   0.987688   0.000000
cos( 81.00)   0.156434   0.156434  -0.000000
sin( 85.50)   0.996917   0.996917   0.000000
cos( 85.50)   0.078459   0.078459  -0.000000
sin( 90.00)   1.000000   1.000000   0.000000
cos( 90.00)   0.000000   0.000000  -0.000000
sin( 94.50)   0.996917   0.996917  -0.000000
cos( 94.50)  -0.078459  -0.078459  -0.000000
sin( 99.00)   0.987688   0.987688  -0.000000
cos( 99.00)  -0.156434  -0.156434  -0.000000
sin(103.50)   0.972370   0.972370  -0.000000
cos(103.50)  -0.233445  -0.233445  -0.000000
sin(108.00)   0.951057   0.951057  -0.000000
cos(108.00)  -0.309017  -0.309017  -0.000000
sin(112.50)   0.923880   0.923880  -0.000000
cos(112.50)  -0.382683  -0.382683  -0.000000
sin(117.00)   0.891007   0.891007  -0.000000
cos(117.00)  -0.453990  -0.453990  -0.000000
sin(121.50)   0.852640   0.852640  -0.000000
cos(121.50)  -0.522499  -0.522499  -0.000000
sin(126.00)   0.809017   0.809017  -0.000000
cos(126.00)  -0.587785  -0.587785  -0.000000
sin(130.50)   0.760406   0.760406  -0.000000
cos(130.50)  -0.649448  -0.649448  -0.000000
sin(135.00)   0.707107   0.707107  -0.000000
cos(135.00)  -0.707107  -0.707107  -0.000000
sin(139.50)   0.649448   0.649448  -0.000000
cos(139.50)  -0.760406  -0.760406  -0.000000
sin(144.00)   0.587785   0.587785  -0.000000
cos(144.00)  -0.809017  -0.809017  -0.000000
