value         ours       lib        diff
sin(148.50)   0.522499   0.522499  -0.000000
cos(148.50)  -0.852640  -0.852640  -0.000000
sin(153.00)   0.453990   0.453990  -0.000000
cos(153.00)  -0.891007  -0.891007  -0.000000
sin(157.50)   0.382683   0.382683  -0.000000
cos(157.50)  -0.923880  -0.923880  -0.000000
sin(162.00)   0.309017   0.309017  -0.000000
cos(162.00)  -0.951057  -0.951057  -0.000000
sin(166.50)   0.233445   0.233445  -0.000000
cos(166.50)  -0.972370  -0.972370  -0.000000
sin(171.00)   0.156434   0.156434  -0.000000
cos(171.00)  -0.987688  -0.987688  -0.000000
sin(175.50)   0.078459   0.078459  -0.000000
cos(175.50)  -0.996917  -0.996917  -0.000000
sin(180.00)   0.000000   0.000000  -0.000000
cos(180.00)  -1.000000  -1.000000   0.000000
sin(184.50)  -0.078459  -0.078459  -0.000000
cos(184.50)  -0.996917  -0.996917   0.000000
sin(189.00)  -0.156434  -0.156434  -0.000000
cos(189.00)  -0.987688  -0.987688   0.000000
sin(193.50)  -0.233445  -0.233445  -0.000000
cos(193.50)  -0.972370  -0.972370   0.000000
sin(198.00)  -0.309017  -0.309017  -0.000000
cos(198.00)  -0.951057  -0.951057   0.000000
sin(202.50)  -0.382683  -0.382683  -0.000000
cos(202.50)  -0.923880  -0.923880   0.000000
sin(207.00)  -0.453990  -0.453990  -0.000000
cos(207.00)  -0.891007  -0.891007   0.000000
sin(211.50)  -0.522499  -0.522499  -0.000000
cos(211.50)  -0.852640  -0.852640   0.000000
sin(216.00)  -0.587785  -0.587785  -0.000000
cos(216.00)  -0.809017  -0.809017   0.000000
sin(220.50)  -0.649448  -0.649448  -0.000000
cos(220.50)  -0.760406  -0.760406   0.000000
sin(225.00)  -0.707107  -0.707107  -0.000000
cos(225.00)  -0.707107  -0.707107   0.000000
sin(229.50)  -0.760406  -0.760406  -0.000000
cos(229.50)  -0.649448  -0.649448   0.000000
sin(234.00)  -0.809017  -0.809017  -0.000000
cos(234.00)  -0.587785  -0.587785   0.000000
sin(238.50)  -0.852640  -0.852640  -0.000000
cos(238.50)  -0.522499  -0.522499   0.000000
sin(243.00)  -0.891007  -0.891007  -0.000000
cos(243.00)  -0.453990  -0.453990   0.000000
sin(247.50)  -0.923880  -0.923880  -0.000000
cos(247.50)  -0.382683  -0.382683   0.000000
sin(252.00)  -0.951057  -0.951057  -0.000000
cos(252.00)  -0.309017  -0.309017   0.000000
sin(256.50)  -0.972370  -0.972370  -0.000000
cos(256.50)  -0.233445  -0.233445   0.000000
sin(261.00)  -0.987688  -0.987688  -0.000000
cos(261.00)  -0.156434  -0.156434   0.000000
sin(265.50)  -0.996917  -0.996917  -0.000000
cos(265.50)  -0.078459  -0.078459   0.000000
sin(270.00)  -1.000000  -1.000000   0.000000
cos(270.00)   0.000000  -0.000000   0.000000
sin(274.50)  -0.996917  -0.996917   0.000000
cos(274.50)   0.078459   0.078459   0.000000
sin(279.00)  -0.987688  -0.987688   0.000000
cos(279.00)   0.156434   0.156434   0.000000
sin(283.50)  -0.972370  -0.972370   0.000000
cos(283.50)   0.233445   0.233445   0.000000
sin(288.00)  -0.951057  -0.951057   0.000000
cos(288.00)   0.309017   0.309017   0.000000
sin(292.50)  -0.923880  -0.923880   0.000000
cos(292.50)   0.382683   0.382683   0.000000
sin(297.00)  -0.891007  -0.891007   0.000000
cos(297.00)   0.453990   0.453990   0.000000
sin(301.50)  -0.852640  -0.852640   0.000000
cos(301.50)   0.522499   0.522499   0.000000
sin(306.00)  -0.809017  -0.809017   0.000000
cos(306.00)   0.587785   0.587785   0.000000
sin(310.50)  -0.760406  -0.760406   0.000000
cos(310.50)   0.649448   0.649448   0.000000
sin(315.00)  -0.707107  -0.707107   0.000000
cos(315.00)   0.707107   0.707107   0.000000
sin(319.50)  -0.649448  -0.649448   0.000000
cos(319.50)   0.760406   0.760406   0.000000
sin(324.00)  -0.587785  -0.587785   0.000000
cos(324.00)   0.809017   0.809017   0.000000
sin(328.50)  -0.522499  -0.522499   0.000000
cos(328.50)   0.852640   0.852640   0.000000
sin(333.00)  -0.453990  -0.453990   0.000000
cos(333.00)   0.891007   0.891007   0.000000
sin(337.50)  -0.382683  -0.382683   0.000000
cos(337.50)   0.923880   0.923880   0.000000
sin(342.00)  -0.309017  -0.309017   0.000000
cos(342.00)   0.951057   0.951057   0.000000
sin(346.50)  -0.233445  -0.233445   0.000000
cos(346.50)   0.972370   0.972370   0.000000
sin(351.00)  -0.156434  -0.156434   0.000000
cos(351.00)   0.987688   0.987688   0.000000
sin(355.50)  -0.078459  -0.078459   0.000000
cos(355.50)   0.996917   0.996917   0.000000
